Minute,Util_S25,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,6
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,8
219,0,10
220,0,10
221,0,11
222,0,11
223,0,11
224,0,11
225,0,11
226,0,11
227,0,11
228,0,11
229,0,12
230,0,12
231,0,12
232,0,12
233,0,12
234,0,13
235,0,11
236,0,12
237,0,13
238,1,15
239,1,14
240,1,14
241,1,13
242,1,13
243,1,13
244,1,14
245,1,15
246,1,15
247,1,15
248,1,16
249,1,16
250,1,16
251,1,16
252,1,17
253,1,18
254,1,18
255,1,18
256,1,18
257,1,19
258,1,19
259,1,19
260,1,18
261,1,19
262,1,18
263,1,21
264,1,21
265,1,21
266,1,24
267,1,25
268,2,26
269,2,27
270,2,29
271,2,29
272,2,30
273,1,27
274,1,30
275,1,30
276,1,30
277,1,32
278,1,34
279,1,37
280,2,39
281,2,43
282,2,45
283,2,46
284,2,45
285,2,50
286,2,53
287,2,54
288,2,57
289,2,56
290,2,58
291,2,62
292,2,66
293,1,66
294,1,65
295,1,65
296,2,69
297,2,72
298,2,79
299,2,81
300,2,84
301,2,86
302,2,86
303,2,90
304,2,96
305,2,96
306,2,94
307,2,101
308,3,101
309,2,101
310,2,103
311,2,109
312,2,113
313,1,116
314,1,120
315,1,129
316,1,130
317,1,137
318,1,137
319,2,139
320,2,144
321,2,146
322,2,147
323,2,153
324,3,154
325,3,164
326,3,170
327,3,176
328,3,177
329,3,179
330,4,182
331,4,185
332,5,192
333,5,200
334,5,201
335,5,210
336,6,220
337,7,232
338,8,237
339,8,253
340,9,258
341,9,267
342,9,269
343,8,277
344,8,283
345,8,291
346,8,292
347,8,304
348,8,305
349,8,325
350,8,325
351,8,336
352,8,348
353,6,353
354,6,356
355,6,369
356,6,373
357,8,373
358,7,383
359,7,379
360,10,401
361,11,411
362,11,425
363,12,431
364,12,443
365,14,449
366,15,456
367,14,462
368,16,483
369,16,484
370,15,490
371,15,486
372,16,497
373,15,506
374,14,503
375,15,516
376,15,518
377,15,521
378,15,537
379,17,539
380,18,547
381,18,561
382,16,564
383,16,579
384,17,586
385,17,613
386,17,634
387,19,648
388,17,668
389,16,664
390,16,681
391,19,695
392,20,702
393,17,703
394,19,714
395,22,740
396,21,748
397,23,765
398,23,776
399,27,791
400,29,814
401,29,828
402,26,836
403,28,843
404,27,842
405,27,853
406,26,855
407,26,866
408,26,874
409,24,902
410,27,924
411,26,931
412,26,923
413,26,941
414,26,958
415,26,975
416,25,990
417,26,999
418,24,1001
419,25,1008
420,26,1024
421,28,1034
422,26,1046
423,24,1061
424,23,1060
425,23,1084
426,25,1084
427,23,1088
428,22,1097
429,22,1105
430,24,1121
431,28,1139
432,29,1156
433,27,1190
434,26,1202
435,28,1231
436,29,1230
437,30,1252
438,30,1256
439,34,1261
440,35,1283
441,35,1288
442,35,1322
443,37,1341
444,35,1375
445,35,1384
446,34,1389
447,38,1427
448,39,1472
449,37,1482
450,37,1515
451,38,1531
452,36,1559
453,34,1595
454,33,1629
455,34,1658
456,34,1684
457,36,1694
458,33,1716
459,37,1749
460,38,1766
461,39,1823
462,39,1828
463,35,1867
464,34,1882
465,34,1924
466,34,1939
467,33,1945
468,31,1943
469,35,1970
470,37,1966
471,35,1983
472,36,1994
473,35,1974
474,35,1957
475,35,2001
476,36,2006
477,37,2003
478,35,1984
479,34,1956
480,34,1980
481,35,1988
482,33,2001
483,33,2024
484,34,2026
485,36,2059
486,36,2024
487,34,2010
488,33,2000
489,33,2006
490,34,2012
491,35,1987
492,36,1995
493,35,1980
494,33,1950
495,34,1947
496,33,1920
497,34,1902
498,33,1913
499,32,1867
500,31,1884
501,32,1878
502,32,1860
503,34,1861
504,33,1837
505,33,1843
506,32,1821
507,31,1798
508,27,1826
509,32,1840
510,34,1827
511,35,1833
512,36,1845
513,40,1837
514,40,1829
515,39,1842
516,38,1846
517,40,1856
518,39,1885
519,39,1892
520,40,1890
521,40,1879
522,37,1867
523,37,1877
524,33,1832
525,32,1842
526,33,1809
527,33,1798
528,28,1784
529,26,1759
530,27,1766
531,27,1769
532,28,1747
533,29,1746
534,29,1712
535,29,1727
536,26,1718
537,26,1706
538,22,1710
539,22,1684
540,24,1681
541,24,1676
542,23,1667
543,23,1641
544,23,1617
545,21,1628
546,26,1616
547,26,1611
