Minute,Util_U2,Util_PT
514,42,1837
515,43,1845
516,44,1854
517,44,1866
518,45,1898
519,46,1900
520,43,1894
521,44,1890
522,44,1874
523,42,1869
524,44,1836
525,41,1840
526,41,1808
527,42,1792
528,42,1779
529,39,1752
530,39,1767
531,34,1770
532,32,1747
533,32,1739
534,31,1693
535,30,1712
536,32,1703
537,34,1689
538,33,1706
539,31,1683
540,32,1665
541,33,1654
542,32,1650
543,39,1638
544,37,1616
545,43,1625
546,40,1617
547,42,1603
548,41,1579
549,40,1568
550,39,1570
551,38,1539
552,41,1531
553,41,1542
554,42,1531
555,40,1531
556,38,1482
557,41,1475
558,40,1468
559,38,1452
560,37,1426
561,36,1417
562,36,1393
563,35,1403
564,32,1369
565,31,1371
566,33,1370
567,33,1363
568,31,1347
569,32,1339
570,31,1339
571,29,1325
572,29,1321
573,30,1308
574,29,1286
575,32,1293
576,32,1274
577,30,1265
578,34,1243
579,34,1247
580,30,1234
581,28,1206
582,29,1188
583,30,1177
584,27,1145
585,25,1139
586,26,1110
587,25,1110
588,25,1102
589,24,1086
590,24,1063
591,25,1066
592,23,1061
593,24,1067
594,24,1047
595,27,1046
596,28,1023
597,26,1016
598,29,1012
599,29,984
600,28,986
601,27,996
602,25,980
603,27,976
604,25,957
605,24,944
606,25,926
607,25,914
608,24,914
609,26,890
610,25,897
611,23,877
612,22,882
613,24,881
614,25,890
615,24,885
616,23,870
617,23,873
618,21,864
619,17,844
620,20,853
621,22,835
622,24,816
623,24,825
624,24,809
625,25,823
626,22,804
627,23,801
628,23,812
629,22,801
630,20,805
631,18,794
632,17,788
633,16,792
634,14,796
635,12,800
636,12,796
637,14,796
638,14,812
639,14,801
640,15,793
641,17,794
642,21,800
643,22,796
644,23,794
645,24,776
646,24,768
647,24,772
648,25,780
649,24,763
650,25,769
651,25,765
652,25,761
653,25,763
654,25,757
655,25,743
656,25,724
657,23,716
658,23,733
659,18,715
660,17,723
661,14,725
662,13,725
663,13,728
664,13,725
665,12,727
666,12,732
667,11,718
668,12,708
669,10,683
670,9,692
671,11,690
672,11,694
673,12,697
674,11,691
675,11,703
676,12,702
677,13,707
678,15,700
679,14,689
680,14,701
681,15,695
682,15,686
683,14,677
684,14,670
685,13,683
686,14,689
687,12,680
688,13,670
689,11,674
690,12,678
691,13,691
692,13,680
693,13,690
694,12,675
695,12,674
696,13,667
697,11,667
698,14,648
699,14,648
700,13,642
701,13,653
702,12,655
703,10,659
704,10,638
705,10,634
706,10,632
707,10,653
708,13,646
709,14,654
710,14,657
711,12,665
712,10,659
713,9,659
714,7,636
715,6,644
716,7,649
717,6,645
718,6,642
719,7,639
720,9,646
721,9,656
722,8,645
723,9,651
724,10,635
725,12,652
726,12,655
727,11,653
728,15,645
729,17,645
730,21,673
731,22,685
732,22,673
733,19,692
734,21,687
735,21,678
736,19,683
737,20,683
738,20,672
739,21,677
740,20,689
741,16,682
742,15,669
743,18,669
744,19,665
745,15,680
746,15,679
747,16,686
748,18,699
749,20,707
750,20,718
751,19,716
752,20,721
753,21,725
754,20,724
755,22,733
756,22,749
757,18,728
758,19,725
759,20,729
760,20,730
761,20,747
762,24,739
763,25,747
764,26,750
765,24,760
766,25,749
767,23,761
768,24,744
769,25,739
770,26,748
771,24,746
772,19,752
773,20,771
774,20,766
775,20,775
776,21,784
777,20,791
778,19,800
779,19,788
780,16,809
781,13,815
782,9,824
783,10,833
784,11,831
785,10,842
786,11,832
787,13,834
788,12,832
789,14,823
790,12,824
791,10,821
792,13,827
793,12,826
794,13,832
795,15,831
796,15,823
797,15,808
798,16,819
799,17,816
800,17,823
801,18,827
802,17,810
803,18,800
804,23,801
805,24,801
806,22,796
807,20,802
808,20,816
809,20,822
810,20,828
811,20,835
812,20,845
813,21,831
814,21,850
815,24,886
816,27,898
817,30,918
818,32,910
819,31,908
820,28,933
821,31,936
822,32,921
823,35,922
824,34,936
825,35,942
826,35,929
827,34,927
828,37,955
829,35,923
830,34,938
831,30,939
832,27,931
833,29,934
834,22,917
835,23,925
836,24,926
837,27,943
838,29,972
839,28,978
840,29,987
841,28,988
842,26,991
843,27,1000
844,25,984
845,27,988
846,26,997
847,27,993
848,27,1003
849,26,1015
850,27,1027
851,26,1043
852,27,1052
853,30,1041
854,29,1043
855,29,1065
856,29,1053
857,30,1063
858,31,1063
859,29,1050
860,30,1058
861,30,1049
862,28,1021
863,25,1050
864,16,1034
865,15,1047
866,14,1040
867,17,1058
868,18,1085
869,18,1093
870,19,1104
871,17,1108
872,18,1125
873,18,1120
874,21,1151
875,21,1185
876,21,1179
877,21,1190
878,24,1213
879,26,1205
880,29,1224
881,30,1223
882,28,1223
883,28,1234
884,28,1248
885,32,1230
886,30,1233
887,33,1253
888,36,1262
889,38,1267
890,38,1300
891,41,1302
892,43,1323
893,42,1322
894,41,1326
895,40,1338
896,34,1362
897,32,1354
898,30,1353
899,31,1362
900,34,1370
901,32,1359
902,30,1380
903,31,1390
904,33,1399
905,34,1429
906,32,1425
907,33,1429
908,37,1421
909,32,1430
910,39,1454
911,39,1477
912,41,1497
913,36,1500
914,40,1508
915,41,1525
916,41,1504
917,42,1514
918,39,1507
919,36,1511
920,35,1520
921,34,1509
922,29,1498
923,32,1503
924,34,1521
925,35,1535
926,32,1527
927,30,1536
928,30,1543
929,29,1544
930,28,1554
931,26,1569
932,28,1570
933,29,1605
934,31,1604
935,34,1621
936,34,1635
937,35,1652
938,38,1667
939,40,1683
940,36,1707
941,32,1731
942,34,1757
943,35,1776
944,42,1804
945,43,1812
946,42,1793
947,43,1800
948,44,1793
949,43,1812
950,44,1807
951,40,1819
952,40,1817
953,34,1820
954,31,1794
955,32,1792
956,35,1807
957,34,1797
958,32,1789
959,32,1770
960,35,1778
961,40,1801
962,38,1795
963,38,1804
964,39,1792
965,42,1808
966,44,1802
967,42,1789
968,39,1781
969,38,1780
970,39,1788
971,42,1785
972,42,1776
973,38,1776
974,39,1756
975,44,1787
976,45,1745
977,45,1735
978,46,1727
979,46,1750
980,48,1757
981,44,1745
982,46,1742
983,46,1760
984,46,1749
985,47,1775
986,45,1760
987,48,1759
988,50,1775
989,44,1749
990,36,1785
991,34,1797
992,37,1785
993,42,1785
994,44,1783
995,42,1799
996,40,1798
997,42,1828
998,45,1830
999,38,1822
1000,42,1837
1001,44,1842
1002,39,1858
1003,39,1865
1004,42,1852
1005,42,1880
1006,40,1853
1007,38,1849
1008,36,1844
1009,39,1848
1010,37,1840
1011,37,1832
1012,34,1827
1013,34,1851
1014,34,1827
1015,38,1871
1016,36,1878
1017,37,1872
1018,36,1882
1019,43,1882
1020,46,1905
1021,42,1897
1022,42,1888
1023,42,1872
1024,45,1887
1025,42,1886
1026,38,1888
1027,39,1877
1028,40,1890
1029,41,1885
1030,41,1896
1031,40,1873
1032,41,1884
1033,41,1849
1034,42,1849
1035,39,1865
1036,42,1844
1037,46,1826
1038,44,1809
1039,37,1786
1040,39,1798
1041,41,1799
1042,45,1778
1043,44,1788
1044,43,1743
1045,45,1738
1046,43,1729
1047,43,1707
1048,43,1712
1049,51,1684
1050,52,1679
1051,51,1691
1052,51,1691
1053,48,1706
1054,49,1710
1055,47,1727
1056,50,1736
1057,52,1711
1058,54,1724
1059,55,1716
1060,51,1727
1061,53,1747
1062,49,1749
1063,50,1744
1064,47,1732
1065,49,1748
1066,48,1719
1067,45,1684
1068,45,1706
1069,44,1694
1070,43,1689
1071,43,1667
1072,45,1667
1073,39,1644
1074,41,1622
1075,38,1649
1076,38,1658
1077,34,1624
1078,33,1618
1079,33,1594
1080,33,1593
1081,34,1580
1082,32,1568
1083,36,1549
1084,36,1517
1085,38,1530
1086,38,1522
1087,38,1498
1088,38,1503
1089,36,1499
1090,39,1496
1091,36,1498
1092,39,1503
1093,36,1492
1094,30,1492
1095,32,1489
1096,32,1474
1097,31,1474
1098,32,1461
1099,31,1448
1100,32,1451
1101,32,1433
1102,30,1401
1103,29,1392
1104,29,1371
1105,31,1355
1106,31,1360
1107,25,1323
1108,25,1328
1109,27,1319
1110,26,1324
1111,24,1299
1112,25,1270
1113,27,1259
1114,26,1251
1115,26,1243
1116,28,1250
1117,30,1236
1118,29,1218
1119,32,1217
1120,31,1209
1121,32,1189
1122,31,1185
1123,33,1178
1124,32,1163
1125,28,1152
1126,27,1118
1127,27,1106
1128,29,1109
1129,27,1093
1130,26,1079
1131,28,1085
1132,29,1055
1133,28,1065
1134,29,1066
1135,30,1081
1136,30,1060
1137,28,1052
1138,27,1050
1139,30,1047
1140,29,1039
1141,29,1019
1142,26,999
1143,26,992
1144,30,974
1145,31,972
1146,29,964
1147,27,970
1148,25,977
1149,24,952
1150,23,939
1151,23,926
1152,19,915
1153,18,890
1154,16,856
1155,15,854
1156,10,823
1157,14,808
1158,15,809
1159,18,804
1160,17,797
1161,17,802
1162,21,801
1163,20,789
1164,22,769
1165,22,784
1166,20,778
1167,20,770
1168,21,766
1169,20,753
1170,20,740
1171,19,744
1172,18,728
1173,21,710
1174,21,696
1175,19,684
1176,19,708
1177,18,706
1178,18,697
1179,16,682
1180,15,685
1181,15,683
1182,16,691
1183,18,679
1184,13,655
1185,14,662
1186,13,653
1187,15,644
1188,16,645
1189,15,648
1190,14,662
1191,15,661
1192,13,643
1193,14,649
1194,13,647
1195,13,645
1196,13,636
1197,12,635
1198,13,641
1199,13,644
1200,14,652
1201,15,643
1202,11,644
1203,10,635
1204,8,617
1205,9,622
1206,9,616
1207,9,607
1208,11,605
1209,11,596
1210,11,583
1211,11,577
1212,18,578
1213,17,572
1214,17,561
1215,17,559
1216,15,539
1217,16,522
1218,16,518
1219,17,506
1220,16,506
1221,15,499
1222,16,483
1223,16,480
1224,16,472
1225,14,473
1226,14,476
1227,14,459
1228,14,464
1229,12,450
1230,11,450
1231,9,437
1232,8,433
1233,9,426
1234,8,416
1235,7,418
1236,8,403
1237,8,401
1238,9,399
1239,8,381
1240,8,375
1241,7,370
1242,6,369
1243,6,372
1244,5,363
1245,4,362
1246,4,356
1247,4,359
1248,5,361
1249,4,353
1250,3,350
1251,3,345
1252,2,335
1253,3,333
1254,3,335
1255,3,337
1256,5,346
1257,5,341
1258,5,343
1259,5,339
1260,6,345
1261,6,337
1262,7,328
1263,7,327
1264,7,312
1265,6,316
1266,7,316
1267,7,315
1268,6,316
1269,6,312
1270,6,315
1271,6,307
1272,6,306
1273,8,296
1274,8,293
1275,8,300
1276,7,288
1277,6,289
1278,7,291
1279,9,285
1280,9,282
1281,9,265
1282,9,249
1283,9,249
1284,8,241
1285,8,249
1286,8,243
1287,7,244
1288,8,245
1289,7,243
1290,6,252
1291,6,249
1292,6,254
1293,6,250
1294,6,241
1295,6,248
1296,10,254
1297,10,243
1298,10,241
1299,10,239
1300,9,232
1301,7,237
1302,7,236
1303,7,234
1304,7,233
1305,7,239
1306,5,226
1307,4,221
1308,3,226
1309,2,214
1310,3,220
1311,3,213
1312,3,215
1313,3,210
1314,3,206
1315,3,203
1316,3,202
1317,3,201
1318,3,194
1319,3,191
1320,3,192
1321,3,188
1322,3,191
1323,3,190
1324,4,192
1325,4,183
1326,3,186
1327,3,181
1328,3,174
1329,4,176
1330,3,176
1331,3,168
1332,3,168
1333,3,159
1334,3,162
1335,3,159
1336,3,160
1337,3,155
1338,3,148
1339,3,141
1340,3,143
1341,3,147
1342,1,138
1343,1,131
1344,3,132
1345,3,132
1346,3,136
1347,3,134
1348,3,132
1349,2,118
1350,2,134
1351,2,134
1352,2,128
1353,2,129
1354,2,126
1355,2,129
1356,0,126
1357,0,128
1358,0,123
1359,0,118
1360,0,121
1361,0,117
1362,0,113
1363,0,113
1364,0,111
1365,0,108
1366,0,108
1367,0,109
1368,0,108
1369,0,108
1370,0,105
1371,0,101
1372,0,94
1373,0,99
1374,1,92
1375,1,87
1376,1,88
1377,1,86
1378,1,86
1379,1,86
1380,1,84
1381,1,80
1382,1,75
1383,1,73
1384,1,72
1385,1,69
1386,1,69
1387,1,66
1388,1,64
1389,0,59
1390,0,60
1391,0,57
1392,0,57
1393,0,56
1394,0,56
1395,0,53
1396,0,52
1397,0,55
1398,0,52
1399,0,51
1400,0,49
1401,0,51
1402,0,49
1403,0,49
1404,0,49
1405,0,50
1406,0,47
1407,0,47
1408,0,43
1409,0,41
1410,0,42
1411,0,42
1412,0,42
1413,0,41
1414,1,39
1415,1,40
1416,1,41
1417,1,39
1418,1,41
1419,2,41
1420,2,41
1421,2,43
1422,3,42
1423,3,41
1424,2,37
1425,2,37
1426,2,33
1427,2,34
1428,2,34
1429,2,31
1430,2,31
1431,2,31
1432,2,28
1433,2,28
1434,1,25
1435,0,27
1436,0,28
1437,0,26
1438,0,22
1439,0,24
1440,0,25
1441,0,26
1442,0,25
1443,1,29
1444,1,32
1445,1,32
1446,1,34
1447,1,34
1448,2,35
1449,2,34
1450,2,36
1451,2,36
1452,2,36
1453,3,38
1454,3,39
1455,2,38
1456,2,40
1457,2,37
1458,2,34
1459,1,33
1460,1,34
1461,0,32
1462,0,31
1463,0,30
1464,0,30
1465,0,30
1466,0,29
1467,0,30
1468,0,29
1469,0,28
1470,0,29
1471,0,29
1472,0,30
1473,0,28
1474,0,27
1475,0,26
1476,0,24
1477,0,21
1478,0,21
1479,0,21
1480,0,21
1481,0,20
1482,0,18
1483,0,17
1484,0,16
1485,0,15
1486,0,13
1487,0,15
1488,0,15
1489,0,15
1490,0,14
1491,0,13
1492,0,15
1493,0,14
1494,0,12
1495,0,11
1496,0,10
1497,0,10
1498,0,11
1499,0,11
1500,0,11
1501,0,11
1502,0,11
1503,0,10
1504,0,9
1505,0,10
1506,0,8
1507,0,8
1508,0,8
1509,0,8
1510,0,8
1511,0,7
1512,0,6
1513,0,6
1514,0,6
1515,0,5
1516,0,5
1517,0,5
1518,0,4
1519,0,4
1520,0,4
1521,0,6
1522,0,6
1523,0,6
1524,0,7
1525,0,7
1526,0,7
1527,0,7
1528,0,7
1529,0,6
1530,0,5
1531,0,5
1532,0,4
1533,0,4
1534,0,4
1535,0,4
1536,0,4
1537,0,3
1538,0,2
1539,0,1
1540,0,1
1541,0,1
1542,0,1
1543,0,1
1544,0,2
1545,0,2
1546,0,3
1547,0,3
1548,0,3
1549,0,3
1550,0,3
1551,0,3
1552,0,3
1553,0,3
1554,0,3
1555,0,3
1556,0,3
1557,0,3
1558,0,3
1559,0,3
1560,0,3
1561,0,3
1562,0,3
1563,0,3
1564,0,3
1565,0,3
1566,0,3
1567,0,3
1568,0,3
1569,0,2
1570,0,2
1571,0,2
1572,0,1
1573,0,1
1574,0,1
1575,0,1
1576,0,1
1577,0,1
1578,0,1
1579,0,1
1580,0,1
1581,0,2
1582,0,2
1583,0,2
1584,0,2
1585,0,2
1586,0,2
1587,0,2
1588,0,2
1589,0,2
1590,0,2
1591,0,2
1592,0,3
1593,0,3
1594,0,3
1595,0,3
1596,0,3
1597,0,3
1598,0,3
1599,0,3
1600,0,3
1601,0,2
1602,0,2
1603,0,2
1604,0,2
1605,0,2
1606,0,2
1607,0,2
1608,0,2
1609,0,2
1610,0,2
1611,0,2
1612,0,2
1613,0,2
1614,0,2
1615,0,2
1616,0,2
1617,0,2
1618,0,2
1619,0,2
1620,0,2
