Minute,Util_S42,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,3
181,0,3
182,0,3
183,0,3
184,0,3
185,0,4
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,5
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,9
219,0,10
220,0,10
221,0,10
222,0,10
223,0,9
224,0,9
225,0,9
226,0,9
227,0,9
228,0,9
229,0,9
230,0,9
231,0,9
232,0,10
233,0,10
234,0,10
235,0,9
236,0,10
237,0,11
238,0,13
239,0,12
240,0,12
241,0,11
242,0,11
243,0,11
244,0,12
245,0,13
246,0,13
247,0,13
248,0,14
249,0,14
250,0,14
251,0,14
252,0,15
253,0,15
254,0,15
255,0,15
256,0,15
257,0,15
258,0,15
259,0,15
260,0,14
261,0,16
262,0,15
263,0,18
264,0,19
265,0,19
266,0,22
267,0,22
268,0,23
269,0,24
270,0,25
271,0,26
272,0,28
273,0,25
274,0,27
275,0,29
276,0,30
277,0,30
278,0,33
279,0,37
280,0,39
281,0,41
282,0,44
283,0,48
284,0,48
285,0,53
286,0,56
287,0,57
288,0,61
289,0,59
290,0,62
291,0,64
292,1,68
293,1,68
294,1,68
295,1,70
296,1,74
297,1,77
298,1,84
299,1,85
300,1,86
301,1,89
302,3,90
303,3,92
304,3,98
305,3,98
306,3,98
307,3,103
308,3,102
309,3,103
310,3,104
311,3,110
312,3,116
313,4,121
314,4,124
315,4,130
316,4,133
317,4,137
318,3,136
319,4,140
320,5,145
321,5,146
322,5,145
323,6,151
324,6,153
325,6,161
326,6,166
327,5,170
328,5,174
329,6,176
330,7,181
331,6,184
332,6,191
333,6,195
334,7,197
335,9,211
336,8,217
337,9,228
338,8,239
339,7,248
340,7,251
341,7,261
342,7,265
343,9,275
344,9,281
345,9,291
346,9,296
347,9,310
348,8,315
349,8,323
350,9,325
351,9,333
352,8,344
353,8,345
354,9,355
355,10,365
356,13,363
357,14,366
358,14,378
359,13,376
360,13,397
361,13,407
362,12,419
363,12,425
364,9,434
365,10,446
366,12,458
367,12,466
368,15,484
369,16,487
370,20,493
371,19,498
372,19,500
373,20,512
374,20,508
375,21,523
376,20,526
377,22,530
378,22,538
379,20,540
380,18,544
381,20,566
382,20,572
383,22,591
384,22,600
385,20,619
386,18,637
387,18,648
388,17,676
389,18,674
390,21,688
391,23,706
392,22,711
393,23,706
394,22,720
395,26,742
396,25,754
397,24,766
398,24,773
399,24,796
400,26,816
401,32,825
402,31,834
403,34,840
404,34,843
405,36,862
406,36,858
407,34,871
408,34,875
409,33,902
410,35,922
411,33,931
412,32,922
413,34,942
414,31,955
415,33,971
416,35,986
417,34,991
418,34,994
419,36,1007
420,39,1026
421,42,1035
422,40,1047
423,46,1064
424,43,1063
425,43,1078
426,48,1077
427,47,1073
428,50,1095
429,49,1102
430,53,1119
431,48,1142
432,48,1165
433,53,1194
434,51,1202
435,54,1232
436,54,1240
437,49,1247
438,46,1249
439,49,1267
440,47,1290
441,44,1312
442,42,1340
443,45,1355
444,49,1396
445,50,1405
446,46,1407
447,50,1444
448,50,1469
449,47,1487
450,47,1511
451,48,1543
452,55,1580
453,59,1613
454,59,1641
455,62,1663
456,59,1679
457,56,1706
458,57,1733
459,58,1769
460,61,1789
461,63,1827
462,65,1830
463,70,1853
464,72,1862
465,75,1902
466,79,1917
467,80,1930
468,80,1931
469,78,1953
470,81,1950
471,73,1962
472,72,1982
473,73,1956
474,70,1952
475,78,1997
476,75,1997
477,77,1993
478,77,1967
479,76,1950
480,82,1973
481,82,1978
482,74,1988
483,79,2010
484,76,2009
485,78,2040
486,78,2009
487,81,2004
488,79,2001
489,77,1996
490,83,1999
491,81,1976
492,77,1969
493,79,1944
494,76,1925
495,78,1921
496,78,1895
497,73,1882
498,77,1900
499,73,1865
500,76,1871
501,69,1857
502,66,1847
503,65,1841
504,64,1820
505,66,1835
506,61,1820
507,60,1805
508,59,1832
509,59,1835
510,64,1829
511,67,1835
512,69,1866
513,72,1856
514,64,1837
515,67,1845
516,63,1854
517,63,1866
518,65,1898
519,64,1900
520,63,1894
521,57,1890
522,62,1874
523,62,1869
524,59,1836
525,63,1840
526,65,1808
527,74,1792
528,75,1779
529,77,1752
530,79,1767
531,75,1770
532,73,1747
533,74,1739
534,69,1693
535,69,1712
536,65,1703
537,61,1689
538,59,1706
539,56,1683
540,57,1665
541,54,1654
542,50,1650
543,49,1638
544,51,1616
545,55,1625
546,53,1617
547,55,1603
548,59,1579
