Minute,Util_S2,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,6
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,8
219,0,10
220,0,10
221,0,11
222,0,11
223,0,11
224,0,11
225,0,11
226,0,11
227,0,11
228,0,11
229,0,12
230,0,12
231,0,12
232,0,12
233,0,12
234,0,13
235,0,11
236,0,12
237,0,13
238,1,15
239,1,14
240,1,14
241,1,13
242,1,13
243,1,13
244,1,14
245,1,15
246,1,15
247,1,15
248,1,16
249,1,16
250,1,16
251,1,16
252,1,17
253,1,18
254,1,18
255,1,18
256,1,18
257,1,19
258,1,19
259,1,19
260,1,18
261,1,19
262,1,18
263,1,21
264,1,21
265,1,21
266,1,24
267,1,25
268,2,26
269,2,27
270,2,29
271,2,29
272,2,30
273,1,27
274,1,30
275,1,30
276,1,30
277,1,32
278,1,34
279,1,37
280,2,39
281,2,43
282,2,45
283,2,46
284,2,45
285,2,50
286,2,53
287,2,54
288,3,57
289,3,56
290,3,58
291,3,62
292,4,66
293,3,66
294,5,65
295,6,65
296,7,69
297,7,72
298,7,79
299,7,81
300,7,84
301,7,86
302,7,86
303,7,90
304,7,96
305,7,96
306,7,94
307,8,101
308,9,101
309,8,101
310,8,103
311,9,109
312,9,113
313,8,116
314,8,120
315,8,129
316,8,130
317,8,137
318,8,137
319,9,139
320,11,144
321,11,146
322,9,147
323,9,153
324,10,154
325,11,164
326,11,170
327,11,176
328,11,177
329,11,179
330,12,182
331,13,185
332,14,192
333,15,200
334,15,201
335,15,210
336,17,220
337,19,232
338,21,237
339,22,253
340,22,258
341,23,267
342,23,269
343,22,277
344,21,283
345,22,291
346,23,292
347,23,304
348,24,305
349,26,325
350,27,325
351,28,336
352,31,348
353,30,353
354,29,356
355,30,369
356,30,373
357,35,373
358,36,383
359,35,379
360,37,401
361,39,411
362,42,425
363,43,431
364,43,443
365,45,449
366,46,456
367,46,462
368,47,483
369,45,484
370,43,490
371,41,486
372,43,497
373,45,506
374,43,503
375,44,516
376,45,518
377,44,521
378,43,537
379,45,539
380,50,547
381,48,561
382,48,564
383,50,579
384,50,586
385,53,613
386,54,634
387,56,648
388,54,668
389,53,664
390,58,681
391,60,695
392,58,702
393,55,703
394,54,714
395,63,740
396,68,748
397,72,765
398,72,776
399,75,791
400,82,814
401,83,828
402,85,836
403,88,843
404,88,842
405,91,853
406,89,855
407,89,866
408,91,874
409,85,902
410,84,924
411,82,931
412,79,923
413,77,941
414,80,958
415,78,975
416,78,990
417,82,999
418,84,1001
419,83,1008
420,83,1024
421,90,1034
422,90,1046
423,90,1061
424,92,1060
425,94,1084
426,93,1084
427,94,1088
428,95,1097
429,100,1105
430,102,1121
431,106,1139
432,105,1156
433,103,1190
434,97,1202
435,100,1231
436,102,1230
437,104,1252
438,105,1256
439,109,1261
440,113,1283
441,114,1288
442,119,1322
443,125,1341
444,118,1375
445,121,1384
446,119,1389
447,125,1427
448,128,1472
449,122,1482
450,122,1515
451,125,1531
452,121,1559
453,115,1595
454,114,1629
455,119,1658
456,121,1684
457,129,1694
458,124,1716
459,128,1749
460,134,1766
461,139,1823
462,135,1828
463,134,1867
464,129,1882
465,131,1924
466,133,1939
467,127,1945
468,126,1943
469,133,1970
470,137,1966
471,134,1983
472,137,1994
473,141,1974
474,130,1957
475,134,2001
476,136,2006
477,139,2003
478,134,1984
479,131,1956
480,134,1980
481,136,1988
482,134,2001
483,135,2024
484,137,2026
485,141,2059
486,139,2024
487,134,2010
488,133,2000
489,129,2006
490,131,2012
491,132,1987
492,127,1995
493,128,1980
494,117,1950
495,112,1947
496,108,1920
497,110,1902
498,110,1913
499,100,1867
500,103,1884
501,107,1878
502,107,1860
503,106,1861
504,104,1837
505,103,1843
506,101,1821
507,101,1798
508,98,1826
509,100,1840
510,110,1827
511,109,1833
512,106,1845
513,113,1837
514,110,1829
515,108,1842
516,105,1846
517,109,1856
518,112,1885
519,116,1892
520,118,1890
521,117,1879
522,118,1867
523,126,1877
524,123,1832
525,126,1842
526,126,1809
527,124,1798
528,118,1784
529,116,1759
530,120,1766
531,120,1769
532,115,1747
533,118,1746
534,114,1712
535,117,1727
536,113,1718
537,112,1706
538,110,1710
539,105,1684
540,107,1681
541,106,1676
542,97,1667
543,98,1641
544,94,1617
545,93,1628
546,100,1616
547,94,1611
