Minute,Util_S26,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,3
181,0,3
182,0,3
183,0,3
184,0,3
185,0,4
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,5
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,9
219,0,10
220,0,10
221,0,10
222,0,10
223,0,9
224,0,9
225,0,9
226,0,9
227,0,9
228,0,9
229,0,9
230,0,9
231,0,9
232,0,10
233,0,10
234,0,10
235,0,9
236,0,10
237,0,11
238,0,13
239,0,12
240,0,12
241,0,11
242,0,11
243,0,11
244,0,12
245,0,13
246,0,13
247,0,13
248,0,14
249,0,14
250,0,14
251,0,14
252,0,15
253,0,15
254,0,15
255,0,15
256,0,15
257,0,15
258,0,15
259,0,15
260,0,14
261,0,16
262,0,15
263,0,18
264,0,19
265,0,19
266,0,22
267,0,22
268,0,23
269,0,24
270,0,25
271,0,26
272,0,28
273,0,25
274,0,27
275,0,29
276,0,30
277,0,30
278,0,33
279,0,37
280,0,39
281,0,41
282,0,44
283,0,48
284,0,48
285,0,53
286,0,56
287,0,57
288,0,61
289,0,59
290,0,62
291,0,64
292,0,68
293,0,68
294,0,68
295,0,70
296,0,74
297,0,77
298,0,84
299,0,85
300,0,86
301,0,89
302,0,90
303,0,92
304,0,98
305,0,98
306,0,98
307,0,103
308,0,102
309,0,103
310,0,104
311,0,110
312,0,116
313,0,121
314,0,124
315,0,130
316,0,133
317,0,137
318,0,136
319,0,140
320,0,145
321,0,146
322,0,145
323,0,151
324,0,153
325,0,161
326,0,166
327,0,170
328,0,174
329,0,176
330,0,181
331,0,184
332,0,191
333,0,195
334,0,197
335,0,211
336,0,217
337,0,228
338,1,239
339,1,248
340,1,251
341,1,261
342,1,265
343,1,275
344,1,281
345,1,291
346,1,296
347,1,310
348,1,315
349,1,323
350,1,325
351,1,333
352,1,344
353,1,345
354,3,355
355,3,365
356,3,363
357,3,366
358,4,378
359,4,376
360,4,397
361,5,407
362,5,419
363,4,425
364,5,434
365,5,446
366,6,458
367,6,466
368,6,484
369,6,487
370,6,493
371,6,498
372,6,500
373,6,512
374,6,508
375,6,523
376,6,526
377,6,530
378,5,538
379,5,540
380,5,544
381,5,566
382,7,572
383,6,591
384,6,600
385,8,619
386,8,637
387,7,648
388,8,676
389,8,674
390,8,688
391,8,706
392,7,711
393,7,706
394,7,720
395,7,742
396,8,754
397,7,766
398,6,773
399,7,796
400,9,816
401,9,825
402,11,834
403,12,840
404,13,843
405,14,862
406,15,858
407,15,871
408,15,875
409,15,902
410,14,922
411,14,931
412,13,922
413,12,942
414,14,955
415,12,971
416,13,986
417,13,991
418,13,994
419,13,1007
420,12,1026
421,13,1035
422,12,1047
423,15,1064
424,14,1063
425,14,1078
426,15,1077
427,16,1073
428,16,1095
429,16,1102
430,16,1119
431,15,1142
432,12,1165
433,12,1194
434,11,1202
435,11,1232
436,13,1240
437,12,1247
438,11,1249
439,11,1267
440,11,1290
441,11,1312
442,13,1340
443,11,1355
444,9,1396
445,9,1405
446,9,1407
447,10,1444
448,10,1469
449,10,1487
450,10,1511
451,10,1543
452,9,1580
453,6,1613
454,7,1641
455,8,1663
456,8,1679
457,9,1706
458,11,1733
459,11,1769
460,13,1789
461,14,1827
462,13,1830
463,13,1853
464,14,1862
465,14,1902
466,13,1917
467,14,1930
468,15,1931
469,15,1953
470,15,1950
471,14,1962
472,15,1982
473,15,1956
474,16,1952
475,15,1997
476,15,1997
477,16,1993
478,13,1967
479,13,1950
480,13,1973
481,13,1978
482,13,1988
483,12,2010
484,11,2009
485,11,2040
486,11,2009
487,9,2004
488,10,2001
489,10,1996
490,11,1999
491,11,1976
492,11,1969
493,8,1944
494,7,1925
495,7,1921
496,7,1895
497,7,1882
498,7,1900
499,7,1865
500,9,1871
501,10,1857
502,11,1847
503,10,1841
504,11,1820
505,11,1835
506,11,1820
507,13,1805
508,15,1832
509,15,1835
510,16,1829
511,16,1835
512,17,1866
513,17,1856
514,18,1837
515,17,1845
516,17,1854
517,18,1866
518,19,1898
519,21,1900
520,24,1894
521,24,1890
522,24,1874
523,25,1869
524,25,1836
525,26,1840
526,23,1808
527,22,1792
528,20,1779
529,19,1752
530,18,1767
531,20,1770
532,14,1747
533,11,1739
534,11,1693
535,11,1712
536,13,1703
537,12,1689
538,12,1706
539,13,1683
540,14,1665
541,14,1654
542,12,1650
543,12,1638
544,13,1616
545,13,1625
546,14,1617
547,13,1603
548,13,1579
