Minute,Util_S85,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,3
181,0,3
182,0,3
183,0,3
184,0,3
185,0,4
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,5
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,9
219,0,10
220,0,10
221,0,10
222,0,10
223,0,9
224,0,9
225,0,9
226,0,9
227,0,9
228,0,9
229,0,9
230,0,9
231,0,9
232,0,10
233,0,10
234,0,10
235,0,9
236,0,10
237,0,11
238,0,13
239,0,12
240,0,12
241,0,11
242,0,11
243,0,11
244,0,12
245,0,13
246,0,13
247,0,13
248,0,14
249,0,14
250,0,14
251,0,14
252,0,15
253,0,15
254,0,15
255,0,15
256,0,15
257,0,15
258,0,15
259,0,15
260,0,14
261,0,16
262,0,15
263,0,18
264,0,19
265,1,19
266,1,22
267,1,22
268,1,23
269,1,24
270,1,25
271,1,26
272,1,28
273,1,25
274,1,27
275,0,29
276,0,30
277,0,30
278,0,33
279,0,37
280,0,39
281,0,41
282,0,44
283,0,48
284,0,48
285,0,53
286,0,56
287,0,57
288,0,61
289,0,59
290,0,62
291,0,64
292,0,68
293,0,68
294,0,68
295,0,70
296,0,74
297,0,77
298,0,84
299,0,85
300,0,86
301,0,89
302,0,90
303,0,92
304,0,98
305,0,98
306,0,98
307,0,103
308,0,102
309,0,103
310,0,104
311,0,110
312,0,116
313,0,121
314,0,124
315,0,130
316,0,133
317,0,137
318,0,136
319,0,140
320,0,145
321,0,146
322,1,145
323,1,151
324,1,153
325,2,161
326,2,166
327,2,170
328,2,174
329,2,176
330,2,181
331,2,184
332,2,191
333,2,195
334,2,197
335,2,211
336,2,217
337,2,228
338,4,239
339,4,248
340,4,251
341,4,261
342,4,265
343,5,275
344,5,281
345,5,291
346,6,296
347,6,310
348,6,315
349,6,323
350,6,325
351,6,333
352,5,344
353,5,345
354,4,355
355,4,365
356,4,363
357,4,366
358,6,378
359,5,376
360,5,397
361,5,407
362,5,419
363,6,425
364,6,434
365,6,446
366,6,458
367,8,466
368,8,484
369,8,487
370,9,493
371,9,498
372,9,500
373,8,512
374,8,508
375,8,523
376,10,526
377,10,530
378,6,538
379,6,540
380,6,544
381,6,566
382,5,572
383,4,591
384,4,600
385,4,619
386,4,637
387,4,648
388,4,676
389,5,674
390,5,688
391,5,706
392,4,711
393,4,706
394,3,720
395,3,742
396,3,754
397,3,766
398,4,773
399,5,796
400,6,816
401,6,825
402,7,834
403,7,840
404,7,843
405,9,862
406,9,858
407,11,871
408,11,875
409,12,902
410,12,922
411,13,931
412,13,922
413,14,942
414,13,955
415,14,971
416,14,986
417,14,991
418,14,994
419,14,1007
420,14,1026
421,13,1035
422,13,1047
423,14,1064
424,14,1063
425,14,1078
426,14,1077
427,15,1073
428,15,1095
429,14,1102
430,14,1119
431,14,1142
432,14,1165
433,19,1194
434,19,1202
435,20,1232
436,21,1240
437,21,1247
438,20,1249
439,17,1267
440,18,1290
441,20,1312
442,20,1340
443,20,1355
444,19,1396
445,21,1405
446,21,1407
447,20,1444
448,22,1469
449,21,1487
450,22,1511
451,22,1543
452,21,1580
453,19,1613
454,17,1641
455,19,1663
456,20,1679
457,17,1706
458,14,1733
459,15,1769
460,15,1789
461,18,1827
462,18,1830
463,18,1853
464,20,1862
465,20,1902
466,20,1917
467,16,1930
468,16,1931
469,16,1953
470,17,1950
471,19,1962
472,19,1982
473,19,1956
474,16,1952
475,16,1997
476,18,1997
477,20,1993
478,22,1967
479,23,1950
480,23,1973
481,25,1978
482,26,1988
483,27,2010
484,26,2009
485,25,2040
486,26,2009
487,27,2004
488,30,2001
489,32,1996
490,31,1999
491,32,1976
492,32,1969
493,34,1944
494,33,1925
495,33,1921
496,32,1895
497,31,1882
498,31,1900
499,30,1865
500,29,1871
501,30,1857
502,27,1847
503,27,1841
504,26,1820
505,28,1835
506,27,1820
507,23,1805
508,25,1832
509,23,1835
510,24,1829
511,25,1835
512,24,1866
513,24,1856
514,23,1837
515,21,1845
516,20,1854
517,21,1866
518,21,1898
519,20,1900
520,20,1894
521,20,1890
522,19,1874
523,19,1869
524,18,1836
525,18,1840
526,17,1808
527,15,1792
528,17,1779
529,17,1752
530,20,1767
531,20,1770
532,21,1747
533,22,1739
534,20,1693
535,21,1712
536,19,1703
537,17,1689
538,18,1706
539,18,1683
540,19,1665
541,20,1654
542,19,1650
543,22,1638
544,21,1616
545,21,1625
546,21,1617
547,18,1603
548,19,1579
