Minute,Util_U9,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,3
181,0,3
182,0,3
183,0,3
184,0,3
185,0,4
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,5
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,9
219,0,10
220,0,10
221,0,10
222,0,10
223,0,9
224,0,9
225,0,9
226,0,9
227,0,9
228,0,9
229,0,9
230,0,9
231,0,9
232,0,10
233,0,10
234,0,10
235,0,9
236,0,10
237,0,11
238,0,13
239,0,12
240,0,12
241,0,11
242,0,11
243,0,11
244,0,12
245,0,13
246,0,13
247,0,13
248,0,14
249,0,14
250,0,14
251,0,14
252,0,15
253,0,15
254,0,15
255,0,15
256,0,15
257,0,15
258,0,15
259,0,15
260,0,14
261,0,16
262,0,15
263,0,18
264,0,19
265,0,19
266,0,22
267,0,22
268,0,23
269,0,24
270,0,25
271,0,26
272,0,28
273,0,25
274,0,27
275,0,29
276,0,30
277,0,30
278,0,33
279,0,37
280,0,39
281,1,41
282,1,44
283,1,48
284,1,48
285,1,53
286,1,56
287,1,57
288,1,61
289,1,59
290,1,62
291,2,64
292,2,68
293,2,68
294,2,68
295,2,70
296,2,74
297,2,77
298,1,84
299,1,85
300,1,86
301,1,89
302,1,90
303,1,92
304,1,98
305,0,98
306,0,98
307,0,103
308,0,102
309,0,103
310,0,104
311,1,110
312,1,116
313,1,121
314,1,124
315,1,130
316,1,133
317,2,137
318,2,136
319,2,140
320,3,145
321,3,146
322,3,145
323,2,151
324,2,153
325,2,161
326,2,166
327,2,170
328,1,174
329,1,176
330,2,181
331,2,184
332,1,191
333,1,195
334,1,197
335,1,211
336,2,217
337,3,228
338,5,239
339,5,248
340,5,251
341,5,261
342,5,265
343,5,275
344,5,281
345,5,291
346,5,296
347,6,310
348,5,315
349,5,323
350,5,325
351,5,333
352,4,344
353,3,345
354,5,355
355,5,365
356,5,363
357,6,366
358,8,378
359,9,376
360,10,397
361,11,407
362,10,419
363,10,425
364,9,434
365,7,446
366,7,458
367,6,466
368,8,484
369,11,487
370,12,493
371,12,498
372,13,500
373,13,512
374,12,508
375,11,523
376,11,526
377,14,530
378,12,538
379,11,540
380,12,544
381,13,566
382,11,572
383,10,591
384,14,600
385,15,619
386,16,637
387,15,648
388,15,676
389,15,674
390,14,688
391,14,706
392,17,711
393,17,706
394,19,720
395,17,742
396,16,754
397,17,766
398,18,773
399,18,796
400,17,816
401,18,825
402,16,834
403,13,840
404,12,843
405,11,862
406,11,858
407,7,871
408,6,875
409,7,902
410,7,922
411,7,931
412,8,922
413,9,942
414,13,955
415,13,971
416,13,986
417,13,991
418,13,994
419,17,1007
420,19,1026
421,21,1035
422,20,1047
423,19,1064
424,18,1063
425,15,1078
426,17,1077
427,16,1073
428,19,1095
429,20,1102
430,20,1119
431,23,1142
432,23,1165
433,22,1194
434,23,1202
435,23,1232
436,21,1240
437,25,1247
438,26,1249
439,22,1267
440,22,1290
441,23,1312
442,26,1340
443,28,1355
444,27,1396
445,28,1405
446,27,1407
447,29,1444
448,28,1469
449,28,1487
450,27,1511
451,29,1543
452,36,1580
453,31,1613
454,30,1641
455,34,1663
456,38,1679
457,44,1706
458,48,1733
459,50,1769
460,49,1789
461,47,1827
462,44,1830
463,41,1853
464,40,1862
465,37,1902
466,31,1917
467,29,1930
468,26,1931
469,28,1953
470,26,1950
471,27,1962
472,30,1982
473,28,1956
474,29,1952
475,29,1997
476,33,1997
477,30,1993
478,29,1967
479,31,1950
480,35,1973
481,34,1978
482,33,1988
483,39,2010
484,41,2009
485,41,2040
486,45,2009
487,45,2004
488,45,2001
489,45,1996
490,46,1999
491,46,1976
492,49,1969
493,46,1944
494,45,1925
495,44,1921
496,42,1895
497,37,1882
498,43,1900
499,40,1865
500,40,1871
501,39,1857
502,39,1847
503,38,1841
504,39,1820
505,35,1835
506,38,1820
507,33,1805
508,34,1832
509,38,1835
510,35,1829
511,34,1835
512,35,1866
513,34,1856
514,33,1837
515,35,1845
516,38,1854
517,45,1866
518,52,1898
519,51,1900
520,52,1894
521,53,1890
522,49,1874
523,45,1869
524,46,1836
525,42,1840
526,45,1808
527,41,1792
528,38,1779
529,36,1752
530,36,1767
531,35,1770
532,38,1747
533,41,1739
534,35,1693
535,31,1712
536,34,1703
537,35,1689
538,37,1706
539,35,1683
540,34,1665
541,36,1654
542,38,1650
543,39,1638
544,37,1616
545,35,1625
546,34,1617
547,33,1603
548,36,1579
