Minute,Util_S3,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,3
181,0,3
182,0,3
183,0,3
184,0,3
185,0,4
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,5
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,9
219,0,10
220,0,10
221,0,10
222,0,10
223,0,9
224,0,9
225,0,9
226,0,9
227,0,9
228,0,9
229,0,9
230,0,9
231,0,9
232,0,10
233,0,10
234,0,10
235,0,9
236,0,10
237,0,11
238,0,13
239,0,12
240,0,12
241,0,11
242,0,11
243,0,11
244,0,12
245,0,13
246,0,13
247,0,13
248,0,14
249,0,14
250,0,14
251,0,14
252,0,15
253,0,15
254,0,15
255,0,15
256,0,15
257,0,15
258,0,15
259,0,15
260,0,14
261,0,16
262,0,15
263,1,18
264,1,19
265,1,19
266,1,22
267,1,22
268,1,23
269,1,24
270,1,25
271,1,26
272,1,28
273,1,25
274,1,27
275,1,29
276,1,30
277,1,30
278,1,33
279,1,37
280,1,39
281,1,41
282,1,44
283,1,48
284,1,48
285,1,53
286,1,56
287,1,57
288,1,61
289,1,59
290,1,62
291,1,64
292,1,68
293,1,68
294,1,68
295,1,70
296,1,74
297,1,77
298,2,84
299,2,85
300,2,86
301,2,89
302,1,90
303,1,92
304,1,98
305,1,98
306,2,98
307,2,103
308,2,102
309,2,103
310,2,104
311,2,110
312,2,116
313,2,121
314,2,124
315,2,130
316,2,133
317,2,137
318,2,136
319,2,140
320,3,145
321,4,146
322,5,145
323,5,151
324,5,153
325,5,161
326,7,166
327,6,170
328,6,174
329,6,176
330,6,181
331,6,184
332,6,191
333,6,195
334,5,197
335,5,211
336,4,217
337,4,228
338,4,239
339,3,248
340,2,251
341,2,261
342,2,265
343,3,275
344,4,281
345,6,291
346,6,296
347,10,310
348,10,315
349,11,323
350,10,325
351,13,333
352,15,344
353,15,345
354,15,355
355,15,365
356,15,363
357,15,366
358,14,378
359,15,376
360,15,397
361,15,407
362,15,419
363,14,425
364,13,434
365,16,446
366,16,458
367,14,466
368,15,484
369,16,487
370,15,493
371,16,498
372,18,500
373,19,512
374,19,508
375,21,523
376,22,526
377,25,530
378,27,538
379,26,540
380,26,544
381,25,566
382,25,572
383,25,591
384,27,600
385,28,619
386,29,637
387,29,648
388,32,676
389,33,674
390,33,688
391,33,706
392,33,711
393,34,706
394,35,720
395,36,742
396,35,754
397,35,766
398,38,773
399,40,796
400,42,816
401,39,825
402,38,834
403,39,840
404,40,843
405,42,862
406,40,858
407,39,871
408,38,875
409,38,902
410,37,922
411,40,931
412,41,922
413,40,942
414,40,955
415,41,971
416,39,986
417,38,991
418,42,994
419,43,1007
420,42,1026
421,42,1035
422,41,1047
423,42,1064
424,41,1063
425,43,1078
426,37,1077
427,36,1073
428,38,1095
429,37,1102
430,36,1119
431,39,1142
432,41,1165
433,42,1194
434,44,1202
435,44,1232
436,43,1240
437,44,1247
438,46,1249
439,46,1267
440,52,1290
441,50,1312
442,52,1340
443,53,1355
444,53,1396
445,54,1405
446,50,1407
447,51,1444
448,50,1469
449,47,1487
450,45,1511
451,46,1543
452,46,1580
453,50,1613
454,49,1641
455,50,1663
456,44,1679
457,43,1706
458,47,1733
459,43,1769
460,41,1789
461,45,1827
462,48,1830
463,50,1853
464,52,1862
465,53,1902
466,53,1917
467,54,1930
468,56,1931
469,55,1953
470,59,1950
471,56,1962
472,59,1982
473,59,1956
474,65,1952
475,71,1997
476,71,1997
477,67,1993
478,71,1967
479,70,1950
480,73,1973
481,75,1978
482,78,1988
483,80,2010
484,76,2009
485,75,2040
486,69,2009
487,70,2004
488,71,2001
489,70,1996
490,68,1999
491,68,1976
492,68,1969
493,69,1944
494,65,1925
495,65,1921
496,60,1895
497,57,1882
498,60,1900
499,57,1865
500,56,1871
501,55,1857
502,57,1847
503,58,1841
504,60,1820
505,60,1835
506,56,1820
507,54,1805
508,56,1832
509,52,1835
510,54,1829
511,52,1835
512,55,1866
513,56,1856
514,55,1837
515,57,1845
516,57,1854
517,57,1866
518,60,1898
519,55,1900
520,57,1894
521,50,1890
522,51,1874
523,50,1869
524,48,1836
525,52,1840
526,51,1808
527,50,1792
528,53,1779
529,52,1752
530,51,1767
531,49,1770
532,50,1747
533,49,1739
534,46,1693
535,50,1712
536,47,1703
537,41,1689
538,43,1706
539,38,1683
540,39,1665
541,38,1654
542,41,1650
543,43,1638
544,41,1616
545,41,1625
546,40,1617
547,38,1603
548,38,1579
