Minute,Util_S85,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,6
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,8
219,0,10
220,0,10
221,0,11
222,0,11
223,0,11
224,0,11
225,0,11
226,0,11
227,0,11
228,0,11
229,0,12
230,0,12
231,0,12
232,0,12
233,0,12
234,0,13
235,0,11
236,0,12
237,0,13
238,0,15
239,0,14
240,0,14
241,0,13
242,0,13
243,0,13
244,0,14
245,0,15
246,0,15
247,0,15
248,0,16
249,0,16
250,0,16
251,0,16
252,0,17
253,0,18
254,0,18
255,0,18
256,0,18
257,0,19
258,0,19
259,0,19
260,0,18
261,0,19
262,0,18
263,0,21
264,0,21
265,1,21
266,1,24
267,1,25
268,1,26
269,1,27
270,1,29
271,1,29
272,1,30
273,1,27
274,1,30
275,0,30
276,0,30
277,0,32
278,0,34
279,0,37
280,0,39
281,0,43
282,0,45
283,0,46
284,0,45
285,0,50
286,0,53
287,0,54
288,0,57
289,0,56
290,0,58
291,0,62
292,0,66
293,0,66
294,0,65
295,0,65
296,0,69
297,0,72
298,0,79
299,0,81
300,0,84
301,0,86
302,0,86
303,0,90
304,0,96
305,0,96
306,0,94
307,0,101
308,0,101
309,0,101
310,0,103
311,0,109
312,0,113
313,0,116
314,0,120
315,0,129
316,0,130
317,0,137
318,0,137
319,0,139
320,0,144
321,0,146
322,1,147
323,1,153
324,1,154
325,2,164
326,2,170
327,2,176
328,2,177
329,2,179
330,2,182
331,2,185
332,2,192
333,2,200
334,2,201
335,2,210
336,2,220
337,2,232
338,3,237
339,3,253
340,4,258
341,4,267
342,4,269
343,4,277
344,4,283
345,4,291
346,4,292
347,5,304
348,5,305
349,5,325
350,5,325
351,5,336
352,5,348
353,5,353
354,4,356
355,4,369
356,4,373
357,4,373
358,7,383
359,6,379
360,6,401
361,6,411
362,6,425
363,7,431
364,7,443
365,7,449
366,7,456
367,9,462
368,9,483
369,9,484
370,9,490
371,9,486
372,8,497
373,7,506
374,7,503
375,7,516
376,9,518
377,9,521
378,5,537
379,5,539
380,5,547
381,5,561
382,4,564
383,3,579
384,3,586
385,3,613
386,3,634
387,3,648
388,3,668
389,4,664
390,4,681
391,4,695
392,3,702
393,3,703
394,2,714
395,3,740
396,3,748
397,3,765
398,4,776
399,5,791
400,6,814
401,7,828
402,8,836
403,8,843
404,8,842
405,9,853
406,9,855
407,11,866
408,11,874
409,12,902
410,12,924
411,13,931
412,13,923
413,15,941
414,14,958
415,15,975
416,14,990
417,14,999
418,14,1001
419,14,1008
420,14,1024
421,14,1034
422,14,1046
423,15,1061
424,15,1060
425,15,1084
426,16,1084
427,16,1088
428,16,1097
429,15,1105
430,15,1121
431,15,1139
432,14,1156
433,18,1190
434,18,1202
435,19,1231
436,19,1230
437,19,1252
438,19,1256
439,17,1261
440,18,1283
441,19,1288
442,21,1322
443,21,1341
444,21,1375
445,21,1384
446,21,1389
447,19,1427
448,20,1472
449,20,1482
450,21,1515
451,21,1531
452,20,1559
453,19,1595
454,17,1629
455,19,1658
456,20,1684
457,16,1694
458,15,1716
459,16,1749
460,16,1766
461,20,1823
462,21,1828
463,21,1867
464,22,1882
465,24,1924
466,26,1939
467,24,1945
468,24,1943
469,24,1970
470,25,1966
471,27,1983
472,27,1994
473,25,1974
474,22,1957
475,22,2001
476,24,2006
477,25,2003
478,26,1984
479,27,1956
480,28,1980
481,27,1988
482,28,2001
483,29,2024
484,28,2026
485,27,2059
486,27,2024
487,26,2010
488,28,2000
489,28,2006
490,27,2012
491,28,1987
492,28,1995
493,30,1980
494,30,1950
495,30,1947
496,27,1920
497,26,1902
498,29,1913
499,28,1867
500,28,1884
501,30,1878
502,26,1860
503,26,1861
504,25,1837
505,27,1843
506,25,1821
507,23,1798
508,25,1826
509,25,1840
510,26,1827
511,28,1833
512,26,1845
513,26,1837
514,26,1829
515,24,1842
516,24,1846
517,24,1856
518,24,1885
519,23,1892
520,22,1890
521,22,1879
522,21,1867
523,22,1877
524,21,1832
525,20,1842
526,20,1809
527,18,1798
528,20,1784
529,22,1759
530,25,1766
531,24,1769
532,25,1747
533,25,1746
534,25,1712
535,26,1727
536,24,1718
537,22,1706
538,20,1710
539,19,1684
540,20,1681
541,19,1676
542,18,1667
543,21,1641
544,21,1617
545,20,1628
546,20,1616
547,19,1611
