Minute,Util_S41,Util_PT
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,1
170,0,1
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,5
192,0,5
193,0,6
194,0,5
195,0,5
196,0,6
197,0,6
198,0,6
199,0,6
200,0,6
201,0,6
202,0,6
203,0,6
204,0,6
205,0,6
206,0,6
207,0,7
208,0,7
209,0,8
210,0,8
211,0,7
212,0,7
213,0,7
214,0,7
215,0,7
216,0,7
217,0,7
218,0,8
219,0,10
220,0,10
221,0,11
222,0,11
223,0,11
224,0,11
225,0,11
226,0,11
227,0,11
228,0,11
229,0,12
230,0,12
231,0,12
232,0,12
233,0,12
234,0,13
235,0,11
236,0,12
237,0,13
238,0,15
239,0,14
240,0,14
241,0,13
242,0,13
243,0,13
244,0,14
245,0,15
246,0,15
247,0,15
248,0,16
249,0,16
250,0,16
251,0,16
252,0,17
253,0,18
254,0,18
255,0,18
256,0,18
257,0,19
258,0,19
259,0,19
260,0,18
261,0,19
262,0,18
263,0,21
264,0,21
265,0,21
266,0,24
267,0,25
268,0,26
269,0,27
270,0,29
271,0,29
272,0,30
273,1,27
274,1,30
275,1,30
276,1,30
277,1,32
278,1,34
279,1,37
280,1,39
281,1,43
282,1,45
283,1,46
284,1,45
285,3,50
286,3,53
287,3,54
288,3,57
289,3,56
290,2,58
291,3,62
292,3,66
293,3,66
294,2,65
295,2,65
296,2,69
297,2,72
298,2,79
299,2,81
300,3,84
301,4,86
302,4,86
303,5,90
304,5,96
305,5,96
306,4,94
307,5,101
308,4,101
309,5,101
310,5,103
311,5,109
312,6,113
313,7,116
314,7,120
315,8,129
316,8,130
317,8,137
318,8,137
319,8,139
320,7,144
321,7,146
322,7,147
323,7,153
324,6,154
325,7,164
326,7,170
327,7,176
328,7,177
329,6,179
330,5,182
331,5,185
332,6,192
333,7,200
334,7,201
335,7,210
336,7,220
337,7,232
338,8,237
339,8,253
340,8,258
341,8,267
342,7,269
343,7,277
344,8,283
345,7,291
346,7,292
347,7,304
348,6,305
349,7,325
350,5,325
351,5,336
352,5,348
353,4,353
354,4,356
355,5,369
356,5,373
357,6,373
358,7,383
359,7,379
360,7,401
361,8,411
362,8,425
363,10,431
364,10,443
365,9,449
366,8,456
367,9,462
368,9,483
369,9,484
370,9,490
371,7,486
372,7,497
373,7,506
374,7,503
375,9,516
376,11,518
377,11,521
378,14,537
379,16,539
380,14,547
381,13,561
382,13,564
383,15,579
384,14,586
385,15,613
386,16,634
387,19,648
388,20,668
389,20,664
390,23,681
391,22,695
392,23,702
393,23,703
394,23,714
395,23,740
396,21,748
397,23,765
398,22,776
399,20,791
400,20,814
401,21,828
402,24,836
403,23,843
404,24,842
405,25,853
406,28,855
407,29,866
408,30,874
409,31,902
410,32,924
411,31,931
412,30,923
413,31,941
414,31,958
415,33,975
416,35,990
417,37,999
418,38,1001
419,35,1008
420,34,1024
421,34,1034
422,34,1046
423,34,1061
424,28,1060
425,28,1084
426,26,1084
427,26,1088
428,25,1097
429,24,1105
430,22,1121
431,22,1139
432,24,1156
433,26,1190
434,25,1202
435,24,1231
436,22,1230
437,23,1252
438,24,1256
439,26,1261
440,26,1283
441,26,1288
442,27,1322
443,29,1341
444,33,1375
445,33,1384
446,31,1389
447,31,1427
448,35,1472
449,35,1482
450,35,1515
451,36,1531
452,35,1559
453,37,1595
454,40,1629
455,40,1658
456,42,1684
457,49,1694
458,46,1716
459,52,1749
460,56,1766
461,52,1823
462,54,1828
463,53,1867
464,57,1882
465,59,1924
466,66,1939
467,70,1945
468,69,1943
469,66,1970
470,67,1966
471,69,1983
472,74,1994
473,74,1974
474,72,1957
475,74,2001
476,76,2006
477,75,2003
478,71,1984
479,69,1956
480,68,1980
481,63,1988
482,68,2001
483,70,2024
484,68,2026
485,68,2059
486,70,2024
487,72,2010
488,72,2000
489,74,2006
490,71,2012
491,68,1987
492,73,1995
493,72,1980
494,69,1950
495,70,1947
496,72,1920
497,72,1902
498,72,1913
499,66,1867
500,62,1884
501,61,1878
502,60,1860
503,56,1861
504,57,1837
505,54,1843
506,60,1821
507,62,1798
508,66,1826
509,61,1840
510,60,1827
511,57,1833
512,59,1845
513,56,1837
514,56,1829
515,55,1842
516,56,1846
517,57,1856
518,56,1885
519,60,1892
520,59,1890
521,62,1879
522,63,1867
523,69,1877
524,69,1832
525,67,1842
526,66,1809
527,65,1798
528,67,1784
529,64,1759
530,62,1766
531,64,1769
532,65,1747
533,70,1746
534,73,1712
535,68,1727
536,64,1718
537,60,1706
538,58,1710
539,58,1684
540,60,1681
541,65,1676
542,68,1667
543,66,1641
544,62,1617
545,64,1628
546,67,1616
547,63,1611
